                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.4467,                 1.6264,                 1.0398,                  0.911,                 0.0381,                0.08161,                 0.0446,                 1.8577,                 3.6507,                 1.0502,              9.981e-05,              9.981e-05,              9.981e-05
                     47,                  1.326,                   1.66,                0.97907,                0.99188,                 0.0381,                0.08579,                0.04725,                 1.9111,                 3.5558,                  1.051,             0.00010021,             0.00010021,             0.00010021
                     48,                 1.2451,                 1.4738,                 1.0099,                0.99188,                 0.0381,                0.08579,                0.04725,                 1.9111,                 3.5558,                  1.051,             0.00010052,             0.00010052,             0.00010052
                     49,                 1.2986,                 1.4478,                0.98785,                0.99368,                 0.0381,                0.08613,                0.04788,                 1.9188,                 3.5896,                 1.0566,             0.00010076,             0.00010076,             0.00010076
                     50,                 1.1543,                 1.4121,                0.96529,                0.99368,                 0.0381,                0.08613,                0.04788,                 1.9188,                 3.5896,                 1.0566,             0.00010092,             0.00010092,             0.00010092
                     51,                 1.4629,                 1.7572,                 1.0559,                0.78419,                0.06984,                0.08678,                0.04577,                 1.9286,                 3.5999,                 1.0574,               0.000101,               0.000101,               0.000101
                     52,                 1.5498,                  1.872,                 1.1207,                0.78419,                0.06984,                0.08678,                0.04577,                 1.9286,                 3.5999,                 1.0574,               0.000101,               0.000101,               0.000101
                     53,                 1.4269,                 1.5925,                 1.0473,                0.78419,                0.06984,                0.08678,                0.04577,                 1.9286,                 3.5999,                 1.0574,             0.00010092,             0.00010092,             0.00010092
                     54,                 1.2683,                 1.3823,                0.97248,                 0.7433,                0.18095,                0.09329,                0.05018,                 1.8778,                 3.5664,                 1.0493,             0.00010076,             0.00010076,             0.00010076
                     55,                 1.2345,                 1.4405,                0.99997,                 0.7433,                0.18095,                0.09329,                0.05018,                 1.8778,                 3.5664,                 1.0493,             0.00010053,             0.00010053,             0.00010053
                     56,                 1.2982,                 1.3209,                0.97347,                 0.7433,                0.18095,                0.09329,                0.05018,                 1.8778,                 3.5664,                 1.0493,             0.00010021,             0.00010021,             0.00010021
                     57,                 1.1125,                 1.1804,                 0.9825,                0.73272,                0.14921,                0.08892,                0.05127,                 1.8452,                 3.4964,                 1.0405,             9.9814e-05,             9.9814e-05,             9.9814e-05
                     58,                 1.1932,                 1.2983,                0.96802,                0.73272,                0.14921,                0.08892,                0.05127,                 1.8452,                 3.4964,                 1.0405,              9.934e-05,              9.934e-05,              9.934e-05
                     59,                 1.1701,                  1.332,                0.96093,                0.73272,                0.14921,                0.08892,                0.05127,                 1.8452,                 3.4964,                 1.0405,             9.8786e-05,             9.8786e-05,             9.8786e-05
                     60,                 1.2413,                 1.2114,                0.97118,                0.72387,                0.12698,                0.09237,                0.05234,                 1.8391,                 3.4432,                  1.043,             9.8152e-05,             9.8152e-05,             9.8152e-05
                     61,                 1.0843,                 1.2723,                0.92035,                0.72387,                0.12698,                0.09237,                0.05234,                 1.8391,                 3.4432,                  1.043,              9.744e-05,              9.744e-05,              9.744e-05
                     62,                 1.2888,                 1.2877,                0.93389,                0.72387,                0.12698,                0.09237,                0.05234,                 1.8391,                 3.4432,                  1.043,             9.6648e-05,             9.6648e-05,             9.6648e-05
                     63,                 1.3979,                 1.4603,                0.99943,                0.65776,                0.12698,                0.14378,                0.08167,                 1.8239,                 3.3967,                 1.0394,             9.5778e-05,             9.5778e-05,             9.5778e-05
                     64,                 1.2537,                 1.2127,                0.98965,                0.65776,                0.12698,                0.14378,                0.08167,                 1.8239,                 3.3967,                 1.0394,             9.4828e-05,             9.4828e-05,             9.4828e-05
                     65,                 1.2607,                 1.3172,                0.96909,                0.65776,                0.12698,                0.14378,                0.08167,                 1.8239,                 3.3967,                 1.0394,             9.3798e-05,             9.3798e-05,             9.3798e-05
                     66,                 1.2487,                 1.3486,                 1.0208,                0.66706,                0.14316,                0.16904,                0.08553,                 1.7883,                 3.4074,                 1.0419,              9.269e-05,              9.269e-05,              9.269e-05
                     67,                 1.2343,                  1.342,                 1.0394,                0.66706,                0.14316,                0.16904,                0.08553,                 1.7883,                 3.4074,                 1.0419,             9.1502e-05,             9.1502e-05,             9.1502e-05
                     68,                 1.4144,                 1.3484,                 1.0682,                0.66706,                0.14316,                0.16904,                0.08553,                 1.7883,                 3.4074,                 1.0419,             9.0236e-05,             9.0236e-05,             9.0236e-05
                     69,                 1.1626,                 1.3386,                0.97858,                0.68435,                0.16727,                0.13762,                0.06467,                 1.8284,                 3.4197,                 1.0306,              8.889e-05,              8.889e-05,              8.889e-05
                     70,                 1.1888,                 1.2767,                0.99836,                0.68435,                0.16727,                0.13762,                0.06467,                 1.8284,                 3.4197,                 1.0306,             8.7464e-05,             8.7464e-05,             8.7464e-05
                     71,                 1.3094,                 1.2753,                0.94693,                0.68435,                0.16727,                0.13762,                0.06467,                 1.8284,                 3.4197,                 1.0306,              8.596e-05,              8.596e-05,              8.596e-05
                     72,                  1.109,                 1.3009,                0.95705,                0.69281,                0.16545,                0.14172,                0.06346,                 1.8309,                 3.4206,                 1.0311,             8.4376e-05,             8.4376e-05,             8.4376e-05
                     73,                 1.0468,                  1.039,                 0.9475,                0.69281,                0.16545,                0.14172,                0.06346,                 1.8309,                 3.4206,                 1.0311,             8.2714e-05,             8.2714e-05,             8.2714e-05
                     74,                 1.2835,                 1.3215,                0.99094,                0.69281,                0.16545,                0.14172,                0.06346,                 1.8309,                 3.4206,                 1.0311,             8.0972e-05,             8.0972e-05,             8.0972e-05
                     75,                 1.1689,                 1.2548,                0.95871,                0.69432,                 0.1656,                0.14139,                0.06369,                 1.8454,                 3.4649,                 1.0355,              7.915e-05,              7.915e-05,              7.915e-05
                     76,                 1.2175,                 1.2912,                 1.0118,                0.69432,                 0.1656,                0.14139,                0.06369,                 1.8454,                 3.4649,                 1.0355,              7.725e-05,              7.725e-05,              7.725e-05
