                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     21,                0.61624,                0.54352,                0.91252,                0.99451,                      1,                  0.995,                0.83044,                0.62917,                 1.2076,                 1.0442,              0.0003208,              0.0003208,              0.0003208
                     22,                0.56947,                0.42988,                0.88992,                0.99451,                      1,                  0.995,                0.83044,                0.62917,                 1.2076,                 1.0442,             0.00033268,             0.00033268,             0.00033268
                     23,                0.52092,                0.37217,                0.90481,                0.99842,                      1,                  0.995,                0.83251,                0.61644,                 1.2267,                 1.0379,             0.00034417,             0.00034417,             0.00034417
                     24,                0.66231,                0.51332,                 0.9097,                0.99842,                      1,                  0.995,                0.83251,                0.61644,                 1.2267,                 1.0379,             0.00035526,             0.00035526,             0.00035526
                     25,                0.70105,                0.55335,                0.91474,                0.99799,                      1,                  0.995,                0.84158,                 0.5923,                0.89768,                  1.042,             0.00036595,             0.00036595,             0.00036595
                     26,                 0.6073,                0.58285,                0.91427,                0.99799,                      1,                  0.995,                0.84158,                 0.5923,                0.89768,                  1.042,             0.00037625,             0.00037625,             0.00037625
                     27,                0.64723,                0.87004,                0.98076,                0.99281,                      1,                  0.995,                0.83954,                0.59314,                0.88702,                 1.0451,             0.00038615,             0.00038615,             0.00038615
                     28,                0.55121,                 0.4967,                0.91908,                0.99281,                      1,                  0.995,                0.83954,                0.59314,                0.88702,                 1.0451,             0.00039566,             0.00039566,             0.00039566
                     29,                0.56382,                0.47865,                0.92693,                0.96803,                      1,                0.99409,                0.78052,                0.77361,                 1.4349,                   1.15,             0.00040477,             0.00040477,             0.00040477
                     30,                0.56648,                0.50808,                0.92562,                0.96803,                      1,                0.99409,                0.78052,                0.77361,                 1.4349,                   1.15,             0.00041348,             0.00041348,             0.00041348
                     31,                0.59334,                0.53635,                0.93369,                0.96665,                      1,                0.99409,                0.75824,                0.77652,                 1.8388,                  1.171,              0.0004218,              0.0004218,              0.0004218
                     32,                0.57139,                0.63459,                0.87997,                0.96665,                      1,                0.99409,                0.75824,                0.77652,                 1.8388,                  1.171,             0.00042972,             0.00042972,             0.00042972
                     33,                0.49836,                 0.4688,                0.88333,                0.99714,                      1,                  0.995,                0.75153,                0.76235,                 2.9054,                 1.1105,             0.00043725,             0.00043725,             0.00043725
                     34,                0.58745,                0.52311,                0.91037,                0.99714,                      1,                  0.995,                0.75153,                0.76235,                 2.9054,                 1.1105,             0.00044438,             0.00044438,             0.00044438
                     35,                0.63537,                0.54049,                0.93079,                0.99099,                      1,                  0.995,                0.72385,                0.81245,                 2.5802,                 1.1148,             0.00045111,             0.00045111,             0.00045111
                     36,                0.62355,                0.53544,                0.91419,                0.99099,                      1,                  0.995,                0.72385,                0.81245,                 2.5802,                 1.1148,             0.00045745,             0.00045745,             0.00045745
                     37,                0.58403,                0.45808,                0.92451,                0.99678,                      1,                  0.995,                0.77369,                0.79477,                 1.3081,                 1.1411,             0.00046339,             0.00046339,             0.00046339
                     38,                0.52543,                0.46805,                0.91481,                0.99678,                      1,                  0.995,                0.77369,                0.79477,                 1.3081,                 1.1411,             0.00046894,             0.00046894,             0.00046894
                     39,                0.55326,                0.51794,                0.92202,                0.93914,                      1,                0.99324,                 0.7857,                0.80016,                0.72793,                 1.1541,             0.00047409,             0.00047409,             0.00047409
                     40,                0.51384,                0.48884,                 0.9307,                0.93914,                      1,                0.99324,                 0.7857,                0.80016,                0.72793,                 1.1541,             0.00047884,             0.00047884,             0.00047884
                     41,                0.57641,                0.51437,                0.90472,                0.96866,                      1,                0.98288,                0.78435,                0.75267,                0.80042,                 1.1038,              0.0004832,              0.0004832,              0.0004832
                     42,                0.44513,                0.42921,                0.85966,                0.96866,                      1,                0.98288,                0.78435,                0.75267,                0.80042,                 1.1038,             0.00048716,             0.00048716,             0.00048716
                     43,                0.56136,                0.49024,                0.94227,                0.96652,                      1,                0.98197,                0.81284,                0.66306,                 0.9564,                 1.0659,             0.00049073,             0.00049073,             0.00049073
                     44,                0.51809,                0.41725,                0.87365,                0.96652,                      1,                0.98197,                0.81284,                0.66306,                 0.9564,                 1.0659,              0.0004939,              0.0004939,              0.0004939
                     45,                0.49341,                 0.4381,                0.91261,                0.85691,                0.93579,                0.94486,                0.76311,                0.71944,                 1.5832,                 1.1226,             0.00049667,             0.00049667,             0.00049667
                     46,                0.56962,                0.40935,                 0.9002,                0.85691,                0.93579,                0.94486,                0.76311,                0.71944,                 1.5832,                 1.1226,             0.00049905,             0.00049905,             0.00049905
                     47,                0.52179,                 0.3906,                0.90946,                0.83176,                 0.9375,                0.92494,                0.75525,                0.76208,                 1.6452,                 1.1519,             0.00050103,             0.00050103,             0.00050103
                     48,                0.57971,                0.52163,                0.85939,                0.83176,                 0.9375,                0.92494,                0.75525,                0.76208,                 1.6452,                 1.1519,             0.00050262,             0.00050262,             0.00050262
                     49,                0.51182,                0.43658,                0.88929,                0.82705,                0.90625,                0.90851,                0.73245,                0.81692,                 1.6498,                 1.1579,             0.00050381,             0.00050381,             0.00050381
                     50,                0.52217,                0.43315,                0.88645,                0.82705,                0.90625,                0.90851,                0.73245,                0.81692,                 1.6498,                 1.1579,              0.0005046,              0.0005046,              0.0005046
                     51,                0.51767,                0.44604,                0.87665,                0.84053,                0.78125,                0.86662,                0.69993,                0.89573,                 1.2898,                 1.2386,               0.000505,               0.000505,               0.000505
                     52,                0.57234,                0.42906,                0.91542,                0.84053,                0.78125,                0.86662,                0.69993,                0.89573,                 1.2898,                 1.2386,               0.000505,               0.000505,               0.000505
                     53,                0.49593,                0.39537,                0.86983,                0.84053,                0.78125,                0.86662,                0.69993,                0.89573,                 1.2898,                 1.2386,             0.00050461,             0.00050461,             0.00050461
                     54,                0.60532,                0.43009,                0.93031,                0.80331,                0.76606,                0.80009,                0.63532,                 1.0662,                 1.1886,                 1.3979,             0.00050382,             0.00050382,             0.00050382
                     55,                0.56246,                  0.438,                0.91851,                0.80331,                0.76606,                0.80009,                0.63532,                 1.0662,                 1.1886,                 1.3979,             0.00050263,             0.00050263,             0.00050263
                     56,                0.57549,                0.41566,                0.91443,                0.80331,                0.76606,                0.80009,                0.63532,                 1.0662,                 1.1886,                 1.3979,             0.00050105,             0.00050105,             0.00050105
                     57,                 0.5349,                0.39198,                0.87023,                0.83905,                0.65625,                0.71553,                 0.5604,                 1.2825,                 1.3707,                  1.585,             0.00049907,             0.00049907,             0.00049907
                     58,                0.53216,                0.50693,                0.89589,                0.83905,                0.65625,                0.71553,                 0.5604,                 1.2825,                 1.3707,                  1.585,              0.0004967,              0.0004967,              0.0004967
                     59,                0.50504,                0.35386,                0.86658,                0.83905,                0.65625,                0.71553,                 0.5604,                 1.2825,                 1.3707,                  1.585,             0.00049393,             0.00049393,             0.00049393
                     60,                0.57156,                0.60054,                0.96212,                0.82624,                   0.75,                0.75694,                0.57229,                 1.1986,                 1.4019,                  1.513,             0.00049076,             0.00049076,             0.00049076
                     61,                0.49853,                0.44432,                0.90743,                0.82624,                   0.75,                0.75694,                0.57229,                 1.1986,                 1.4019,                  1.513,              0.0004872,              0.0004872,              0.0004872
                     62,                0.54719,                0.40907,                0.86227,                0.82624,                   0.75,                0.75694,                0.57229,                 1.1986,                 1.4019,                  1.513,             0.00048324,             0.00048324,             0.00048324
                     63,                0.52546,                0.44243,                0.88852,                0.90359,                0.90625,                0.94027,                 0.6988,                0.94244,                0.94833,                 1.3003,             0.00047889,             0.00047889,             0.00047889
